KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
AAA;The Observer;L'Observateur;Der Beobachter;Obserwator;El Observador;L'Osservatore;A megfigyelõ;Pozorovatel;A megfigyelõ;De waarnemer;O Observador;Íàáëşäàòåëü;Tarkkailija;x
AAA_ADJ;Observing;Observante;Beobachtend;obserwatorsk;Observada;Osservante;megfigyelése;Pozorování;megfigyelése;Observeren;Observante;íàáëşäàòåëí;tarkkailemalla;x
AAA_PARTY;The Observing Faction;La faction observatrice;Die beobachtende Fraktion;Frakcja Obserwatorska;La Facción Observadora;La Fazione che Osserva;A megfigyelõ frakció;Pozorovací frakce;A megfigyelõ frakció;De waarnemende factie;A Facção Observadora;Ôğàêöèÿ Íàáëşäàòåëíàÿ;Tarkkaileva ryhmä;x
ABE;The Abenaki;Abénaquis;Abenaki;Abenacka;Los Abenaki;Abenachi;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêè;Abenaki;x
ABE_ADJ;Abenaki;Abénaqui;Abenaki;Abenaków;Abenaki;Abenaca;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;àáåíàêñê;Abenaki;x
ABK;Abkhazia;Abkhazie;Abchasien;Abchazja;Abjasia;Abcasia;Abházia;Abcházie;Abházia;Abchazië;Abecásia;Àáõàçèÿ;Abhasia;x
ABK_ADJ;Abkhazian;Abkhaze;Abchasisch;abchask;Abjasia;Abcasa;abház;Abcházie;abház;Abchazisch;Abecásio;àáõàçñê;abhaasi;x
ABO;The Aborigines;Les Aborigènes;Die Ureinwohner;Aborygeni;Los Aborígenes;Gli Aborigeni;A bennszülöttek;Domorodci;A bennszülöttek;De Aboriginals;Os Aborígenes;Àáîğèãåíû;Aborigines;x
ABO_ADJ;Aborigine;Aborigène;Ureinwohner-;aborygeñsk;Aborigen;Aborigena;bennszülött;Domorodec;bennszülött;Inboorling;Aborígene;àáîğèãåíí;Alkuasukas;x
ACA;Acadia;Acadie;Akadien;Akadia;Acadia;Acadia;Acadia;Acadia;Acadia;Acadia;Acádia;Àêàäèÿ;acadia;x
ACA_ADJ;Acadian;Acadien;Akadisch;akadiañsk;Acadiana;Acadiana;Acadian;Acadian;Acadian;Acadian;Acadiano;àêàäèéñê;Novascotialainen;x
ADO;Andorra;Andorre;Andorra;Andora;Andorra;Andorra;Andorra;Andorra;Andorra;Andorra;Andorra;Àíäîğğà;Andorra;x
ADO_ADJ;Andorran;Andorran;Andorranisch;andorsk;Andorrana;Andorrana;andorrai;Andorran;andorrai;Andorrese;Andorrana;àíäîğğñê;Andorran;x
ADU;Andalusia;Andalousie;Andalusien;Andaluzja;Andalucía;Andalusia;Andalúzia;Andalusie;Andalúzia;Andalusië;Andaluzia;Àíäàëóñèÿ;Andalusia;x
ADU_ADJ;Andalusian;Andalou;Andalusisch;Andaluzji;Andalusí;Andalusa;Andalúz;Andaluskı;Andalúz;Andalusisch;Andaluz;Àíäàëóññê;Andalusian;x
AES;Anglo-Saxony;Anglo-Saxe;Angelsachsen;Anglosaksonia;Anglosajonia;Anglo-Sassonia;Angol-Szász;Anglosaské;Angol-Szász;Anglo-Saksen;Anglosaxônia;Àíãëîñàêñîíèÿ;Anglo-Saksi;x
AES_ADJ;Anglo-Saxon;Anglo-saxon;Angelsächsisch;anglosaksoñsk;Anglosajona;Anglosassone;angolszász;Anglosaskı;angolszász;Angelsaksisch;Anglosaxão;àíãëîñàêñîíñê;Anglosaksinen;x
AGU;Anguilla;Anguilla;Anguilla;Anguilla;Anguila;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Àíãèëüÿ;Anguilla;x
AGU_ADJ;Anguillean;Anguillais;Anguillanisch;anguilsk;Anguilense;Anguilliana;Anguillean;Anguillean;Anguillean;Anguillean;Anguilano;àíãèëüñê;Anguillean;x
AIN;The Ainu;Aïnou;Ainu;Ajnowie;Los Ainus;Ainu;ainu;Ainu;ainu;ainu;Os Ainus;Àéíû;Ainu;x
AIN_ADJ;Ainu;Aïnou;Ainu;ajnusk;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;àéíîâñê;Ainu;x
AKK;The Ak Koyunlu;Aq Qoyunlu;Aq Qoyunlu;Ak Kojunlu;Ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;O Cordeiro Branco;Àê-Êîşíëó;ak Koyunlu;x
AKK_ADJ;Ak Koyunlu;d'Aq Qoyunlu;Aq Qoyunlu-;Ak Kojunlu;Aq Qoyunlesa;di Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;do Cordeiro Branco;Àê-êîşíëóñê;ak Koyunlu;x
ALI;the Alien Invaders;Les Envahisseurs Aliens;Die Außerirdische Einfäller;Pozaziemskie NajeŸdŸcy;Los Invasores Alienígenos;Gli Invasori Alieni;Alien Invaders;Alien Invaders;Alien Invaders;Alien Invaders;Os Invasores Alienígenas;Èíîïëàíåòíûå Çàõâàò÷èêè;Alien Invaders;x
ALI_ADJ;Alien;Alien;Außerirdisch;pozaziemsk;Alienígena;Aliena;idegen;cizinec;idegen;vreemdeling;Alienígena;èíîïëàíåòí;ulkomaalainen;x
ALI_anarcho_liberal;Grey Faction;Faction des Gris;Fraktion der Grauen;Szara Frakcja;Facción Gris;Fazione Grigia;Szürke frakció;Šedá frakce;Szürke frakció;Gray Faction;Facção Cinza;Ñåğàÿ Ôğàêöèÿ;Harmaa Faction;x
