SWT;Sweden Tribes;;;;;;;;;;;;;x;
SWT_ADJ;Swedish;;;;;;;;;;;;;x;
NWT;Norway Tribes;;;;;;;;;;;;;x;
NWT_ADJ;Norwegian;;;;;;;;;;;;;x;
NAV;Navarre;;;;;;;;;;;;;x;
NAV_ADJ;Navarrese;;;;;;;;;;;;;x;
BRI;Brittany;;;;;;;;;;;;;x;
BRI_ADJ;Breton;;;;;;;;;;;;;x;
UMA;Umayyad;;;;;;;;;;;;;x;
UMA_ADJ;Arab;;;;;;;;;;;;;x;
POM;Pommerania;;;;;;;;;;;;;x;
POM_ADJ;Pomeranian;;;;;;;;;;;;;x;
PCH;The Pechenegs;;;;;;;;;;;;;x;
PCH_ADJ;Pechenegs;;;;;;;;;;;;;x;
RST;Russian Tribes;;;;;;;;;;;;;x;
RST_ADJ;Russian;;;;;;;;;;;;;x;
MAZ;Mazovia;;;;;;;;;;;;;x;
MAZ_ADJ;Polish;;;;;;;;;;;;;x;
GAS;Gascony;;;;;;;;;;;;;x;
GAS_ADJ;Gascon;;;;;;;;;;;;;x;
HAM;Hamdanid;;;;;;;;;;;;;x;
HAM_ADJ;Hamdani;;;;;;;;;;;;;x;
BRU;Brutas;;;;;;;;;;;;;x;
BRU_ADJ;Brutus;;;;;;;;;;;;;x;
ALT;Al-Thamali;;;;;;;;;;;;;x;
ALT_ADJ;Thamalid;;;;;;;;;;;;;x;
BUY;Buyid;;;;;;;;;;;;;x;
BUY_ADJ;Persian;;;;;;;;;;;;;x;
SLL;Sallarid;;;;;;;;;;;;;x;
SLL_ADJ;Persian;;;;;;;;;;;;;x;
JIB;Jibal;;;;;;;;;;;;;x;
JIB_ADJ;Persian;;;;;;;;;;;;;x;
